City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
2,Vaini,TO,78.96,-21.2,-175.2,broken clouds,Keleti Beach Resort
11,Jinchang,CN,83.1,38.4953,102.1739,few clouds,Mingshihui Jinchang International Hotel
20,Ugoofaaru,MV,81.95,5.6667,73.0,scattered clouds,Ungoofaaru Inn
25,Pokhara,NP,86.14,28.2333,83.9833,overcast clouds,OYO 170 Hotel View Point
29,Palauig,PH,85.51,15.435,119.9045,broken clouds,Villa Raphael Resort
42,Adrar,MR,89.11,20.5022,-10.0711,broken clouds,
45,Boa Vista,BR,82.38,2.8197,-60.6733,clear sky,Aipana Plaza Hotel
46,Butaritari,KI,81.84,3.0707,172.7902,few clouds,Isles Sunset Lodge
47,Qinhuangdao,CN,85.42,39.9317,119.5883,clear sky,Qinhuangdao Peninsula Seasons Hotel And Apartment
50,Helong,CN,79.81,42.5397,128.9972,overcast clouds,Helong Hotel
53,Scottsbluff,US,82.29,41.8666,-103.6672,clear sky,Hampton Inn & Suites Scottsbluff-Conference Center
58,Samarai,PG,78.91,-10.6167,150.6667,overcast clouds,Nuli Sapi
64,Dandong,CN,79.65,40.1292,124.3947,clear sky,Yiranju Farmstay
65,Vieux-Habitants,GP,77.72,16.0589,-61.7659,scattered clouds,Habitation GETZ
66,Itarema,BR,75.88,-2.9248,-39.9167,overcast clouds,"Sea Lounge! Bar, Club & Restaurant"
68,Kapaa,US,84.18,22.0752,-159.319,broken clouds,Sheraton Kauai Coconut Beach Resort Hotel
72,Laguna,US,77.76,38.421,-121.4238,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
75,Patiya,BD,85.95,22.2931,91.9762,broken clouds,Sorry
80,Havelock,US,84.18,34.8791,-76.9013,clear sky,Sherwood Motel
83,Wanning,CN,86.77,18.8003,110.3967,light rain,Paradise Hotel
84,Hithadhoo,MV,82.42,-0.6,73.0833,clear sky,Scoop Guest House
86,Atuona,PF,77.14,-9.8,-139.0333,clear sky,Villa Enata
89,Balabac,PH,85.35,7.9868,117.0645,broken clouds,Batalla’s Lodging House
92,Atlantic City,US,77.18,39.3643,-74.4229,moderate rain,Courtyard by Marriott Atlantic City Beach Block
93,Puerto Escondido,MX,76.55,15.85,-97.0667,overcast clouds,Aldea del Bazar Hotel and Spa
94,Dunmore Town,BS,82.56,25.5,-76.65,clear sky,Coral Sands Hotel
111,Victoria,HK,81.25,22.2855,114.1577,moderate rain,Mini Central
114,Shimoda,JP,84.11,34.6667,138.95,moderate rain,Shimoda Tokyu Hotel
117,Kavaratti,IN,81.3,10.5669,72.642,broken clouds,Green leaf
118,Sola,VU,78.44,-13.8833,167.55,overcast clouds,Leumerus Bungalows
119,Cockburn Town,TC,81.46,21.4612,-71.1419,clear sky,Osprey Beach Hotel
120,Cayenne,GF,79.09,4.9333,-52.3333,scattered clouds,Hôtel Le Dronmi
122,Morant Bay,JM,82.02,17.8815,-76.4093,few clouds,Whispering Bamboo Cove Resort
125,Darnah,LY,80.01,32.767,22.6367,clear sky,فندق الفردوس
126,Port Blair,IN,86.04,11.6667,92.75,scattered clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
140,Labuhan,ID,87.08,-6.8844,112.2051,broken clouds,DoubleFAG
142,Banda Aceh,ID,85.84,5.5577,95.3222,overcast clouds,OYO 884 Rumoh PMI Hotel
147,Sao Filipe,CV,77.09,14.8961,-24.4956,broken clouds,Hotel Xaguate
154,Omalur,IN,82.65,11.741,78.0456,few clouds,Vasantha Bavan
157,Bengkulu,ID,83.82,-3.8004,102.2655,scattered clouds,Grage Hotel Bengkulu
161,Shenjiamen,CN,85.48,29.9576,122.298,scattered clouds,Jinjiang Inn Zhoushan Putuo Shenjiamen
164,Bonthe,SL,75.52,7.5264,-12.505,moderate rain,Bonthe Holiday Village
165,Champerico,GT,78.17,14.3,-91.9167,overcast clouds,"Hotel y restaurante ""El Diamante"""
166,Lorengau,PG,84.18,-2.0226,147.2712,broken clouds,Lorengau Harbourside Hotel
167,Ipatinga,BR,75.27,-19.4683,-42.5367,clear sky,Panorama Tower Hotel
172,Mareeba,AU,75.92,-17.0,145.4333,clear sky,Trinity Plains Tourist Park
176,Negombo,LK,84.25,7.2083,79.8358,scattered clouds,Hotel Sunset Beach
177,Belaya Kalitva,RU,85.35,48.17,40.78,broken clouds,Hotel Antey
179,Kuching,MY,89.82,1.55,110.3333,scattered clouds,Hilton Kuching
183,Buala,SB,84.27,-8.145,159.5921,light rain,Maringe Lagoon Lodge
184,Mandal,IN,83.73,25.45,74.5667,overcast clouds,Surpanch saab ki vatika
187,Bandarbeyla,SO,81.3,9.4942,50.8122,overcast clouds,JABIR HOTEL
195,Dwarka,IN,84.97,22.2394,68.9678,overcast clouds,Hotel Narayan Avezika Comfort
198,Chitral,PK,83.21,35.8462,71.7858,clear sky,PTDC Motel Chitral
199,Kirakira,SB,81.39,-10.4544,161.9205,scattered clouds,SanBiz Lodge
203,Auki,SB,82.17,-8.7676,160.7034,scattered clouds,Auki Motel
207,Seybaplaya,MX,75.67,19.65,-90.6667,overcast clouds,sala de fiesta san Rafael
209,Shetpe,KZ,89.53,44.1667,52.1167,clear sky,Rtsm Shetpe Analog
217,Georgetown,MY,89.55,5.4112,100.3354,few clouds,Cititel Penang
219,Faanui,PF,78.17,-16.4833,-151.75,light rain,Bora-Bora Pearl Beach Resort & Spa
220,Zyryanka,RU,79.21,65.75,150.85,overcast clouds,
224,Carmen,MX,78.31,18.6333,-91.8333,overcast clouds,Hotel Lossandes
228,Weligama,LK,83.68,5.9667,80.4167,overcast clouds,Weligama Bay Resort
232,Hilo,US,83.28,19.7297,-155.09,few clouds,Hilo Hawaiian Hotel
234,Nacozari,MX,75.22,25.3366,-108.2574,broken clouds,El Llano
235,Marsh Harbour,BS,82.02,26.5412,-77.0636,clear sky,Abaco Beach Resort
237,Xining,CN,81.81,36.6167,101.7667,broken clouds,Super Leisure Hotel
241,Basay,PH,85.26,9.4087,122.64,scattered clouds,Nikka's Place (Basay Transient Rooms)
243,Port Hueneme,US,82.78,34.1478,-119.1951,clear sky,Hampton Inn Channel Islands Harbor
245,Dingle,PH,86.61,10.9995,122.6711,broken clouds,SEGAYA PROPERTY
254,Borovoy,RU,78.08,55.4333,86.0833,clear sky,Tsimus
255,Solton,RU,78.26,52.8429,86.4787,broken clouds,
260,Kamenka,RU,78.37,51.3223,42.7678,broken clouds,
267,Manoharpur,IN,84.09,27.3,75.95,light rain,कैथल हरियाणा होटल
268,Wewak,PG,84.31,-3.5534,143.6268,light rain,In Wewak Boutique Hotel
270,Kupang,ID,86.58,-10.1667,123.5833,broken clouds,Hotel On The Rock by Prasanthi
272,Dakar,SN,79.68,14.6937,-17.4441,overcast clouds,Novotel Dakar
276,Cabo San Lucas,MX,84.61,22.8909,-109.9124,overcast clouds,Hotel Tesoro Los Cabos
280,Glendive,US,76.62,47.1053,-104.7125,clear sky,Super 8 by Wyndham Glendive
283,Kahului,US,84.22,20.8947,-156.47,few clouds,Maui Seaside Hotel
285,Hambantota,LK,88.14,6.1241,81.1185,few clouds,Bungalow 63
286,Tateyama,JP,82.92,34.9833,139.8667,overcast clouds,Tateyama Seaside Hotel
290,Nishihara,JP,87.46,26.1842,127.7558,mist,Minshuku Agaihama
291,San Patricio,US,85.89,28.017,-97.5169,few clouds,"Motel 6 Sinton, TX"
292,Puri,IN,81.12,19.8,85.85,heavy intensity rain,OYO 1577 Hotel Shree Hari Grand
293,Portel,BR,75.4,-1.9356,-50.8211,broken clouds,Kitnet do Marcos
298,Yongan,CN,84.87,39.6957,113.6871,clear sky,Beiyue International Hotel
301,Gizo,SB,82.69,-8.103,156.8419,light rain,Imagination Island
306,Bambanglipuro,ID,82.58,-7.95,110.2833,broken clouds,Puri Brata
308,Karachi,PK,89.42,24.9056,67.0822,smoke,Sadaat
314,Sakakah,SA,89.17,29.9697,40.2064,clear sky,Fakhamat Al Orjoana Apartment
315,Padang,ID,87.85,-0.9492,100.3543,broken clouds,Mercure Padang
320,Manicaragua,CU,75.65,22.1494,-79.9736,broken clouds,Hostal Las V
322,Miranpur,IN,87.31,29.3,77.9333,overcast clouds,Bhartiya Hotel
327,Salinopolis,BR,77.97,-0.6136,-47.3561,broken clouds,Salinas Park Resort Maçarico AP101
328,Onguday,RU,75.78,50.75,86.15,scattered clouds,Barskaya Usad'ba
329,Kloulklubed,PW,77.5,7.0419,134.2556,scattered clouds,Storyboard Beach Resort
331,Oistins,BB,82.49,13.0667,-59.5333,broken clouds,Butterfly Beach Hotel
335,Chulym,RU,77.85,55.0997,80.9572,overcast clouds,"""U Tat'yany"""
340,Port Hedland,AU,80.65,-20.3167,118.5667,clear sky,The Esplanade Hotel
341,Zhob,PK,83.77,31.3411,69.4481,scattered clouds,ROOM # 105 DUBAI HOTEL ZHOB
343,Saint George,US,84.79,37.1041,-113.5841,clear sky,Best Western Plus Abbey Inn
344,Hirara,JP,89.87,24.8,125.2833,scattered clouds,Hotel Atoll Emerald Miyakojima
348,Manaure,CO,81.86,11.7751,-72.4445,overcast clouds,Hotel Palaaima
351,Jaque,PA,77.49,7.5175,-78.1703,moderate rain,Aventuras Jaque S.A
356,Bubaque,GW,80.33,11.2833,-15.8333,moderate rain,"Casa Dora, Bubaque"
357,Parrita,CR,76.21,9.5201,-84.3225,overcast clouds,Beso del Viento
359,Chaplynka,UA,81.97,46.3651,33.5403,broken clouds,Білий Дім
360,Namatanai,PG,82.99,-3.6667,152.4333,light rain,Seagulls Inn Namatani
361,Honiara,SB,83.25,-9.4333,159.95,broken clouds,Heritage Park Hotel
363,Kardailovo,RU,83.97,51.5386,53.9042,clear sky,
366,Hit,IQ,89.74,33.6416,42.8251,clear sky,ࢪُبَمـا ؏ُـمَـࢪ
367,Gigmoto,PH,84.85,13.7796,124.39,broken clouds,Cj's Travellers Inn
369,Alofi,NU,78.69,-19.0595,-169.9187,few clouds,Taloa Heights
370,Tucurui,BR,75.69,-3.7661,-49.6725,scattered clouds,BBB Rooms Centro Tucurui PA
373,Buchanan,LR,75.2,5.8808,-10.0467,overcast clouds,Kamaneahn Hotel Inc
375,Shingu,JP,86.95,33.7333,135.9833,broken clouds,Shingu UI Hotel
377,Mecca,SA,88.36,21.4267,39.8261,broken clouds,"Makkah Clock Royal Tower, A Fairmont Hotel"
378,Smolenskoye,RU,78.33,52.3044,85.0781,overcast clouds,
380,Dibulla,CO,78.01,11.2725,-73.3091,overcast clouds,Hospedaje Dibulla Beach
387,Sorong,ID,82.56,-0.8833,131.25,few clouds,Waigo Splash Hotel
398,Manggar,ID,86.02,-2.8833,108.2667,broken clouds,Guest Hotel
401,Bossier City,US,78.98,32.516,-93.7321,clear sky,Horseshoe Bossier City
402,Lovington,US,77.85,32.944,-103.3485,overcast clouds,Comfort Inn & Suites Lovington
404,Ambon,ID,84.34,-3.6954,128.1814,light rain,Swiss-Belhotel Ambon
405,Kiunga,PG,79.83,-6.1219,141.2906,broken clouds,Airport Lodge Kiunga
408,Saint-Georges,GD,80.28,12.0564,-61.7485,few clouds,Radisson Grenada Beach Resort
410,Kavieng,PG,82.89,-2.5744,150.7967,light rain,Nusa Island Retreat
414,Maumere,ID,81.81,-8.6199,122.2111,overcast clouds,Sylvia Hotel
415,Karratha,AU,77.09,-20.7377,116.8463,clear sky,ibis Styles Karratha
417,Trairi,BR,75.38,-3.2778,-39.2689,broken clouds,janelas do mar
423,Sarkand,KZ,81.1,45.41,79.9186,few clouds,Гостиница Сарканд
424,Los Banos,PH,87.8,14.1667,121.1833,overcast clouds,Sol Y Viento Mountain Hot Springs and Resort
425,Mogadishu,SO,76.87,2.0371,45.3438,broken clouds,Hotel Juba
427,Goure,NE,80.92,13.9835,10.2704,light rain,
429,Nijar,ES,77.65,36.9665,-2.206,clear sky,La Casa del Cine
430,Pokoynoye,RU,83.62,44.8097,44.2517,clear sky,
432,Vyazemskiy,RU,76.06,47.5378,134.7525,few clouds,Dom Otdykha Dlya Rabotnikov Rzhd
433,Hobyo,SO,78.39,5.3505,48.5268,broken clouds,Halane Hotel and Restaurent
435,Dawlatabad,AF,84.92,36.4141,64.9053,clear sky,WASIM ASGAR KHAN
439,Vung Tau,VN,81.7,10.346,107.0843,overcast clouds,Seaside Resort
440,Isangel,VU,77.11,-19.55,169.2667,broken clouds,Tanna Lodge
441,Dali,CN,79.43,25.7,100.1833,scattered clouds,Dali Travelling With Hostel
443,Kaitong,CN,80.76,44.8135,123.15,clear sky,Jinhe Fashion Hotel
445,Pangai,TO,80.71,-19.8,-174.35,broken clouds,Ha'apai Beach Resort
447,Kieta,PG,84.07,-6.2167,155.6333,light rain,Uruna Bay Retreat
448,Ewa Beach,US,80.55,21.3156,-158.0072,overcast clouds,Base Lodging
449,Meulaboh,ID,83.55,4.1363,96.1285,overcast clouds,Kost Pria
450,Lincoln,US,78.71,40.8,-96.667,clear sky,Courtyard by Marriott Lincoln Downtown/Haymarket
451,San Policarpo,PH,84.0,12.1791,125.5072,few clouds,Agapita M. Nicart
452,Tevaitoa,PF,77.76,-16.7833,-151.5,light rain,Hôtel Raiatea Lodge
