City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ushuaia,AR,2022-08-11 04:37:48,-54.8,-68.3,33.46,100,100,1.14,light rain
1,Saint-Philippe,RE,2022-08-11 04:39:11,-21.3585,55.7679,67.59,81,79,18.5,light rain
2,Vaini,TO,2022-08-11 04:39:12,-21.2,-175.2,78.96,94,75,14.97,broken clouds
3,Hobart,AU,2022-08-11 04:44:04,-42.8794,147.3294,55.26,69,0,5.75,clear sky
4,Andra,RU,2022-08-11 04:44:04,62.5147,65.8878,63.46,53,100,11.12,overcast clouds
5,Hovd,MN,2022-08-11 04:39:20,48.0056,91.6419,73.44,36,57,10.33,broken clouds
6,Mar Del Plata,AR,2022-08-11 04:41:29,-38.0023,-57.5575,46.87,91,0,15.01,clear sky
7,Albany,US,2022-08-11 04:37:56,42.6001,-73.9662,65.34,91,9,3.47,clear sky
8,Hermanus,ZA,2022-08-11 04:39:05,-34.4187,19.2345,48.79,89,98,6.6,overcast clouds
9,Cape Town,ZA,2022-08-11 04:36:26,-33.9258,18.4232,55.11,92,40,5.75,scattered clouds
10,Kodiak,US,2022-08-11 04:39:13,57.79,-152.4072,54.91,94,100,4.61,mist
11,Jinchang,CN,2022-08-11 04:44:06,38.4953,102.1739,83.1,52,24,9.17,few clouds
12,Lavrentiya,RU,2022-08-11 04:39:11,65.5833,-171.0,47.44,87,64,4.76,broken clouds
13,Traverse City,US,2022-08-11 04:44:07,44.7631,-85.6206,69.87,68,0,5.75,clear sky
14,Ilulissat,GL,2022-08-11 04:40:01,69.2167,-51.1,42.82,81,100,4.61,overcast clouds
15,Arlit,NE,2022-08-11 04:44:07,18.7369,7.3853,93.36,32,60,9.98,broken clouds
16,Yellowknife,CA,2022-08-11 04:38:00,62.456,-114.3525,55.92,67,75,12.66,broken clouds
17,Saskylakh,RU,2022-08-11 04:44:08,71.9167,114.0833,50.56,66,100,15.21,overcast clouds
18,Huarmey,PE,2022-08-11 04:44:09,-10.0681,-78.1522,61.57,86,39,5.08,scattered clouds
19,Paris,FR,2022-08-11 04:40:51,48.8534,2.3488,70.14,54,0,6.91,clear sky
