City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayacucho,VE,2022-08-03 00:43:24,5.6639,-67.6236,75.72,90,100,2.8
1,Vaini,TO,2022-08-03 00:43:25,-21.2,-175.2,80.76,89,75,11.5
2,Albany,US,2022-08-03 00:41:58,42.6001,-73.9662,77.65,62,0,1.01
3,Homer,US,2022-08-03 00:40:19,59.6425,-151.5483,62.47,80,100,8.01
4,Cabo San Lucas,MX,2022-08-03 00:39:33,22.8909,-109.9124,91.62,55,0,11.5
5,Santa Rosa,PH,2022-08-03 00:39:15,14.3122,121.1114,84.09,82,100,5.26
6,Tunceli,TR,2022-08-03 00:43:26,39.1083,39.5471,74.44,44,0,7.67
7,Ipixuna,BR,2022-08-03 00:43:27,-1.7625,-48.8043,77.74,80,100,3.27
8,Ribeira Grande,PT,2022-08-03 00:43:27,38.5167,-28.7,75.38,84,98,13.69
9,Broome,US,2022-08-03 00:43:27,42.2506,-75.833,74.64,71,0,12.66
10,Lebu,CL,2022-08-03 00:43:28,-37.6167,-73.65,46.98,81,1,15.59
11,Vao,NC,2022-08-03 00:43:28,-22.6667,167.4833,72.5,89,67,12.86
12,Mataura,NZ,2022-08-03 00:43:29,-46.1927,168.8643,44.47,85,99,10.4
13,Rikitea,PF,2022-08-03 00:43:29,-23.1203,-134.9692,72.34,73,40,20.58
14,Longyearbyen,SJ,2022-08-03 00:39:57,78.2186,15.6401,49.84,93,75,2.3
15,Manicore,BR,2022-08-03 00:43:30,-5.8092,-61.3003,78.75,89,0,1.14
16,Cockburn Town,TC,2022-08-03 00:43:30,21.4612,-71.1419,82.36,74,40,12.66
17,Jamestown,US,2022-08-03 00:43:24,42.097,-79.2353,71.19,68,0,6.91
18,Kinsale,IE,2022-08-03 00:43:31,51.7075,-8.5306,60.24,94,75,10.36
19,Hamilton,US,2022-08-03 00:43:31,39.1834,-84.5333,81.84,70,0,5.75
20,Bluff,NZ,2022-08-03 00:43:32,-46.6,168.3333,44.8,74,42,29.21
21,Kaitangata,NZ,2022-08-03 00:43:32,-46.2817,169.8464,50.88,74,82,15.32
22,Torbay,CA,2022-08-03 00:43:33,47.6666,-52.7314,66.97,73,75,10.36
23,Avarua,CK,2022-08-03 00:39:18,-21.2078,-159.775,77.05,53,100,18.41
24,Iqaluit,CA,2022-08-03 00:43:33,63.7506,-68.5145,46.13,74,75,9.22
25,Parabel,RU,2022-08-03 00:43:34,58.6978,81.4825,54.84,74,0,8.3
26,Cartagena Del Chaira,CO,2022-08-03 00:43:34,1.3349,-74.8429,71.2,95,51,2.73
27,Miraflores,MX,2022-08-03 00:43:35,19.2167,-98.8083,70.56,83,91,3.02
28,Souillac,MU,2022-08-03 00:43:35,-20.5167,57.5167,68.38,83,40,3.44
29,Ushuaia,AR,2022-08-03 00:40:28,-54.8,-68.3,35.26,93,75,2.3
30,Naze,JP,2022-08-03 00:43:36,28.3667,129.4833,85.12,84,15,9.86
31,Muroto,JP,2022-08-03 00:42:06,33.2833,134.15,82.51,82,84,9.13
32,Port Alfred,ZA,2022-08-03 00:43:36,-33.5906,26.891,65.98,55,4,10.07
33,Haradok,BY,2022-08-03 00:43:37,55.4624,29.9816,59.23,93,100,5.46
34,Hobart,AU,2022-08-03 00:40:23,-42.8794,147.3294,59.25,67,75,12.66
35,Abbeville,FR,2022-08-03 00:43:37,50.1,1.8333,63.5,91,68,2.62
36,Kapaa,US,2022-08-03 00:42:01,22.0752,-159.319,84.52,66,40,13.8
37,Cape Town,ZA,2022-08-03 00:43:38,-33.9258,18.4232,58.37,87,75,6.91
38,Borogontsy,RU,2022-08-03 00:43:38,62.6683,131.1683,64.24,93,100,1.66
39,Husavik,IS,2022-08-03 00:43:39,66.0449,-17.3389,45.16,98,100,18.68
40,Khatanga,RU,2022-08-03 00:43:39,71.9667,102.5,45.97,67,100,5.3
41,Carutapera,BR,2022-08-03 00:43:40,-1.195,-46.02,75.99,89,19,6.42
42,Vestmanna,FO,2022-08-03 00:43:40,62.1564,-7.1664,47.32,93,100,16.11
43,Punta Arenas,CL,2022-08-03 00:40:53,-53.15,-70.9167,33.91,93,20,4.61
44,Busselton,AU,2022-08-03 00:43:41,-33.65,115.3333,54.09,67,100,31.21
45,Thompson,CA,2022-08-03 00:41:36,55.7435,-97.8558,57.36,94,75,3.44
46,Raga,SS,2022-08-03 00:44:42,8.4596,25.678,69.08,97,90,4.25
47,Bredasdorp,ZA,2022-08-03 00:44:43,-34.5322,20.0403,49.28,87,14,4.23
48,Pisco,PE,2022-08-03 00:44:43,-13.7,-76.2167,60.85,82,20,12.66
49,Barrow,US,2022-08-03 00:44:43,71.2906,-156.7887,46.42,71,0,14.97
